序號,答案
20240101090001,15.91
20240101091001,15.91
20240101092001,15.91
20240101093001,15.91
20240101094001,15.91
20240101095001,15.91
20240101100001,15.91
20240101101001,15.91
20240101102001,15.91
20240101103001,15.91
20240101104001,15.91
20240101105001,15.91
20240101110001,15.91
20240101111001,15.91
20240101112001,15.91
20240101113001,15.91
20240101114001,15.91
20240101115001,15.91
20240101120001,15.91
20240101121001,15.91
20240101122001,15.91
20240101123001,15.91
20240101124001,15.91
20240101125001,15.91
20240101130001,3.45
20240101131001,3.45
20240101132001,3.45
20240101133001,3.45
20240101134001,3.45
20240101135001,3.45
20240101140001,3.45
20240101141001,3.45
20240101142001,3.45
20240101143001,3.45
20240101144001,3.45
20240101145001,3.45
20240101150001,3.45
20240101151001,3.45
20240101152001,3.45
20240101153001,3.45
20240101154001,3.45
20240101155001,3.45
20240101160001,3.45
20240101161001,3.45
20240101162001,3.45
20240101163001,3.45
20240101164001,3.45
20240101165001,3.45
20240113090001,160.02
20240113091001,160.02
20240113092001,160.02
20240113093001,160.02
20240113094001,160.02
20240113095001,160.02
20240113100001,160.02
20240113101001,160.02
20240113102001,160.02
20240113103001,160.02
20240113104001,160.02
20240113105001,160.02
20240113110001,160.02
20240113111001,160.02
20240113112001,160.02
20240113113001,160.02
20240113114001,160.02
20240113115001,160.02
20240113120001,160.02
20240113121001,160.02
20240113122001,160.02
20240113123001,160.02
20240113124001,160.02
20240113125001,160.02
20240113130001,0.53
20240113131001,0.53
20240113132001,0.53
20240113133001,0.53
20240113134001,0.53
20240113135001,0.53
20240113140001,0.53
20240113141001,0.53
20240113142001,0.53
20240113143001,0.53
20240113144001,0.53
20240113145001,0.53
20240113150001,0.53
20240113151001,0.53
20240113152001,0.53
20240113153001,0.53
20240113154001,0.53
20240113155001,0.53
20240113160001,0.53
20240113161001,0.53
20240113162001,0.53
20240113163001,0.53
20240113164001,0.53
20240113165001,0.53
20240123090001,38.01
20240123091001,38.01
20240123092001,38.01
20240123093001,38.01
20240123094001,38.01
20240123095001,38.01
20240123100001,38.01
20240123101001,38.01
20240123102001,38.01
20240123103001,38.01
